Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
Quem eram os senhores rurais e como se viam?;"Uma ""nobreza da terra"", com orgulho da ascendência e direito de mando em suas propriedades."
Qual era a relação dos senhores rurais com os comerciantes portugueses?;Rivalidade, com desprezo dos rurais e grande dívida deles para com comerciantes, especialmente traficantes de escravos.
Quem eram os reinóis trazidos com a família real ao Rio de Janeiro?;Aristocratas de comportamento refinado, que passaram a ser imitadas pelas elites rurais e comerciantes.
Como d. João VI tratou os comerciantes portugueses?;Reconheceu seus préstimos, concedeu-lhes prestígio, honras e títulos como a Ordem de Cristo.
Como a independência afetou a relação entre brasileiros e portugueses?;Aumentou a hostilidade, com episódios de violência contra portugueses e suas propriedades.
Que tipo de nobreza d. Pedro I criou no Brasil?;Uma nobreza de mérito, não hereditária, distribuindo muitos títulos a grandes fazendeiros e políticos.
Qual era o patamar máximo social para fazendeiros e comerciantes?;Participar da vida da corte, que era o auge da escala social.
Que outras camadas sociais estavam abaixo dos grandes proprietários e comerciantes?;Altos funcionários do Estado, oficiais das Forças Armadas, profissionais liberais, pequenos comerciantes, oficiais do Exército, artesãos, e na base, os brancos pobres.
Como os negros livres e escravos se dividiam?;Em africanos (nascidos na África) e crioulos (nascidos no Brasil).
Qual era a relação entre africanos e crioulos negros?;"Desconfiança mútua, com sentimento de superioridade dos crioulos; raros casamentos entre eles."
Onde os escravos domésticos geralmente eram recrutados?;Entre os negros crioulos.
Onde eram destinados os africanos escravos?;Para o trabalho pesado nas plantações, sob disciplina rigorosa.
Como era o destino dos escravos domésticos de donos ricos?;Alimentavam-se bem, vestiam-se adequadamente, tinham tarefas definidas, dormiam em quartos com poucos companheiros e tinham momentos de ócio.
Qual era a condição dos escravos domésticos de donos remediados ou pobres?;Comiam pouco e mal, usavam roupas simples, dormiam onde podiam e não tinham descanso, devendo estar prontos para todas as tarefas.
Por que, às vezes, era melhor ter uma dona viúva remediada do que uma família rica?;Porque a viúva podia empregar os escravos em trabalhos na rua, que representava mais liberdade que a casa, considerada quase uma prisão.
O que significava a rua para muitos escravos?;Era sinônimo de liberdade, contato com seus compatriotas africanos e manutenção de laços culturais.
O que cada grupo de africanos recém-chegados trazia ao Brasil?;Pedaços renovados da África, seus valores, costumes e novidades culturais.
Como os navios negreiros influenciavam a cultura africana no Brasil?;Atualizavam e reforçavam tradições africanas entre os escravos e seus descendentes.
Quais pressões modernizadoras atuavam sobre a sociedade brasileira?;Influências europeias, especialmente sobre elites intelectuais e classes abastadas, que se propagavam lentamente.
Como era a aceitação dos tecidos europeus entre as classes brasileiras?;Tecidos europeus somaram-se, mas não substituíram os asiáticos e africanos, apreciados por todas as camadas sociais.
Quais eram alguns bens de luxo asiáticos apreciados no Brasil?;Sedas chinesas, tafetás, musselinas bordadas, quimonos, leques de madrepérola, pentes de tartaruga e móveis pintados.
Como as mudanças culturais ocorreram entre as cidades e o campo?;"As cidades maiores mudaram costumes, vestuário e comportamento social; no campo e povoados, as tradições persistiram."
Quais eram as principais celebrações religiosas do Brasil colonial?;Dia dos Reis, Semana Santa, Páscoa, Festas Juninas, Finados, Natal e procissões.
Como os escravos africanos adaptaram seu calendário?;Adotaram a semana de sete dias dos brancos e procuraram alinhar suas festas às datas cristãs.
Como os africanos comemoravam a festa de Nossa Senhora do Rosário?;Coroavam o rei do Congo e desfilavam a calunga, boneca do maracatu, símbolo sagrado dos ambundos.
Que sincretismo religioso ocorre na comemoração de orixás iorubanos?;Celebram Ogum no dia de São Jorge (Rio) ou de Santo Antônio de Pádua (Bahia).
Como os calundus e candomblés mantinham tradições africanas?;Preservando ritos e cerimônias que marcam fases da vida, ainda que adaptados às festas cristãs.
Por que o batismo era feito o mais rápido possível após o nascimento?;Porque era comum a morte infantil precoce e, sem batismo, a criança não iria para o céu, mas para o limbo.
Quem realizava o parto nas casas brasileiras da época?;"Parteiras ou ""aparadeiras"", muitas vezes em condições precárias de higiene."
O que a família fazia durante o parto?;Rezava o rosário, enquanto a parturiente se confessava e comungava, preparando-se para um possível desfecho fatal.
Qual era a função do padrinho e da madrinha no batismo?;Tornar-se parentes substitutos dos pais, zelando pelo afilhado e criando obrigações recíprocas (compadrio).
Como os escravos escolhiam padrinhos para seus filhos?;"Geralmente pediam a familiares do dono, amigos do senhor ou libertos abastados; às vezes formavam redes de compadrio entre si."
Qual era a idade comum para casamento das moças na elite?;Entre 12 e 17 anos, muitas vezes por casamentos arranjados pelos pais.
Qual o principal objetivo dos casamentos arranjados?;Preservar e aumentar o patrimônio familiar.
Como as moças expressavam interesse nos namorados?;Através dos movimentos do leque, lenço e com o olhar, especialmente na missa ou no teatro.
Como era a relação dos maridos com amásias?;"Muitos mantinham segundas casas com amásias, geralmente caboclas, mulatas ou negras; nas fazendas, podiam ter várias concubinas."
Qual era a essência da escravidão sexual?;O senhor tinha acesso livre ao corpo dos escravos, que podiam ser estuprados pelo dono, filhos ou feitores desde meninas.
Havia casos de amor entre senhor e escrava?;Sim, algumas relações duradouras ocorreram, mesmo sem casamento formal, com escravas consideradas mulheres e donas da casa.
Os escravos podiam casar-se oficialmente?;Sim, muitos casavam-se na igreja, cumprindo os ritos sociais dos brancos.
Como o escravo constituía família apesar das dificuldades?;Formavam famílias para criar afeto, romper a solidão e alimentar esperança, mesmo sabendo que poderiam ser desfeitas pelo senhor.
O que acontecia se marido e mulher escravos tinham donos diferentes?;Estavam sujeitos à venda e separação por ambos os donos, enfrentando riscos duplos de separação.
Quem eram as mulheres chefes de família entre livres e escravas?;Viúvas, mulheres com parceiros vendidos ou abandonadas, muitas trabalhavam como costureiras, bordadeiras e ambulantes.
Havia padres com filhos na sociedade?;Sim, muitos padres contrariavam o voto de castidade, e seus filhos eram aceitos socialmente, destacando-se em várias áreas.
"Como se definia a ""boa morte""?";Morrer em casa, na cama, rodeado da família, sem grandes dores e após receber comunhão e os santos óleos.
O que simbolizavam as três batidas quando se pedia a extrema-unção?;Eram como o início de uma representação teatral, anunciando o momento da unção ao enfermo.
Como era composta a procissão do viático?;Um pálio sustentado por paroquianos, um rapaz com sineta, sacristão com cruz processional, atendentes com tocheiros, devotos e curiosos.
Que elementos podiam acompanhar a procissão em paróquias ricas?;Uma pequena banda de música e soldados com armas apontadas para o solo.
Como o defunto era preparado para o velório?;Banho, unhas e cabelos cortados, barba aparada ou raspada, vestido com burel de São Francisco ou mortalha, com vela nas mãos e queixo amarrado.
Qual era o papel das carpideiras no velório?;Choravam e lamentavam em voz alta junto ao corpo do falecido.
Quem participava do velório?;Familiares, amigos, irmãos de confraria, vizinhos e curiosos, todos como parte do “espetáculo” da morte.
Quando geralmente ocorriam os enterros?;Ao cair da noite.
Como era organizado o cortejo funerário?;Cruz e tocheiros à frente, seguidos por párocos com velas, defunto em caixão aberto carregado aos ombros, família, acompanhantes e confrades com suas opas e tochas.
O que recebiam os mendigos após alguns enterros?;Uma paga ou esmola predeterminada.
Como as pessoas na rua participavam do cortejo?;Paravam para ver o morto e lhe dar adeus.
Que novidade surgia nos cortejos fúnebres entre 1808 e 1831?;Uso de carros puxados a cavalo para transportar o defunto e acompanhantes nas pessoas de posses.
Onde eram sepultados os escravos?;Na maioria, no adro da igreja, embora alguns fossem enterrados dentro das igrejas.
Por que era importante pertencer a uma irmandade católica?;Para assegurar um bom enterro, pois as confrarias organizavam e custeavam sepultamentos.
Como as irmandades católicas se dividiam socialmente?;Algumas eram para os grandes da terra, outras só para brancos, outras para ex-escravos negros, e algumas para pardos e mulatos.
Que função tinham as confrarias negras?;Criar vínculos grupais, reforçar tradições africanas e garantir sepultamentos solenes.
Como as confrarias negras combinavam rituais?;Seguiam os rituais cristãos publicamente e, às escondidas, tradições africanas de despedida.
Quem eram os egunguns nos candomblés baianos?;Mascarados que trazem os mortos de volta ao mundo dos vivos, realizando cerimônias fúnebres iorubanas tradicionais.
Como eram respeitadas as hierarquias africanas no Brasil?;Príncipes africanos escravizados recebiam respeito e obediência dos seus, que podiam comprar sua liberdade e garantir enterros importantes.
O que Jean-Baptiste Debret registrou em seus desenhos?;Um cortejo funerário festivo de um rei africano no Brasil, com cantos, tambores, foguetório e danças.
Como era carregado o defunto na rede?;Suspensa em uma vara longa apoiada nos ombros de dois homens, coberta por um pano com cruz.
Que simbolismo teria a retirada da cruz no cortejo de Debret?;Poderia representar uma celebração tradicional africana no golfo do Benim, evocando a passagem do morto a ancestral.
Onde eram sepultados os escravos que não receberam batismo?;Em sítios especiais como o Cemitério dos Pretos Novos (Rio de Janeiro) e o Campo da Pólvora (Salvador), enterrados muitas vezes a flor da terra e sem cuidados.
Como alguns senhores tratavam os cadáveres dos escravos que morriam a seu serviço?;Alguns enterravam em qualquer lugar ou abandonavam os cadáveres sem qualquer cuidado, desrespeitando a Igreja, costumes e leis.
O que aconteceu após a abertura do Brasil aos estrangeiros em relação aos sepultamentos?;Cresceu o número de não católicos que não podiam ser enterrados em solo consagrado, criando-se os Cemitérios dos Ingleses nas principais cidades.
Qual era a visão geral dos europeus protestantes pelos brasileiros católicos?;Eram vistos com desconfiança por serem considerados hereges, apesar de relatos de boa recepção e hospitalidade no Brasil.
Como a Igreja Católica estava presente na vida das pessoas?;Desde o nascimento até a morte, com templos, capelas, imagens de santos, medalhas e rituais cotidianos.
