A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
A balança comercial inclui apenas bens, excluindo serviços.;✅ Certo. A balança comercial considera apenas exportações e importações de bens.
O saldo da conta corrente depende apenas da balança comercial.;❌ Errado. Ele também inclui rendas primárias e secundárias.
O PIB inclui transações financeiras, como compra e venda de ações.;❌ Errado. O PIB mede a produção de bens e serviços, não transações financeiras.
Transferências unilaterais, como remessas de emigrantes, fazem parte da renda primária.;❌ Errado. Elas pertencem à renda secundária na Conta Corrente.
O PNB é sempre menor que o PIB.;❌ Errado. O PNB pode ser maior ou menor, dependendo das rendas líquidas do exterior.
Se um país tem déficit na Conta Corrente, ele pode financiar isso com investimentos estrangeiros.;✅ Certo. O déficit pode ser coberto por entradas na Conta Financeira.
Se um país aumenta suas reservas internacionais, isso pode indicar um superávit no Balanço de Pagamentos.;✅ Certo. O aumento das reservas reflete entrada líquida de divisas.
O consumo e o investimento não influenciam o PIB.;❌ Errado. O PIB pelo lado da despesa é composto por consumo, investimento, gastos do governo e exportações líquidas.
A Conta Corrente e a Conta Capital e Financeira sempre têm saldos opostos.;✅ Certo. Um déficit em uma conta geralmente implica superávit na outra.
A depreciação reduz o PIB.;❌ Errado. A depreciação reduz o PNB e a Renda Nacional, mas não o PIB.
Um superávit comercial pode contribuir para um superávit na conta corrente.;✅ Certo. Se um país exporta mais do que importa, pode ter superávit na conta corrente.
O governo pode influenciar o saldo da Conta Corrente por meio de políticas cambiais.;✅ Certo. O câmbio afeta exportações e importações, impactando a Conta Corrente.
O Balanço de Pagamentos registra apenas transações de bens entre países.;❌ Errado. Ele inclui transações de bens, serviços, rendas, transferências e fluxos financeiros.
A Conta Corrente inclui a Balança Comercial, a Balança de Serviços e as Rendas Primária e Secundária.;✅ Certo. Esses são os quatro componentes da Conta Corrente.
A Balança Comercial registra exportações e importações de bens e serviços.;"❌ Errado. Apenas bens; os serviços estão na Balança de Serviços."
Um superávit na Conta Corrente significa que o país exporta mais do que importa.;✅ Certo. Isso indica que o país está acumulando divisas estrangeiras.
A Renda Primária inclui lucros, juros e salários pagos e recebidos do exterior.;✅ Certo. São rendimentos dos fatores de produção.
A Renda Secundária registra investimentos estrangeiros diretos e em carteira.;❌ Errado. Ela inclui transferências unilaterais, como remessas de emigrantes.
A Conta de Capital e Financeira registra apenas os investimentos diretos.;❌ Errado. Ela também inclui investimentos em carteira, empréstimos e outras transações financeiras.
O perdão de dívidas estrangeiras aparece na Conta de Capital.;✅ Certo. O perdão de dívidas é classificado como uma transferência de capital.
O investimento direto ocorre quando um investidor estrangeiro compra ações na bolsa de valores de outro país.;❌ Errado. Isso é investimento em carteira. O investimento direto envolve participação ativa na empresa.
O investimento em carteira inclui a compra de ações, títulos e outros ativos financeiros.;✅ Certo. São investimentos financeiros sem controle sobre a empresa.
A Conta Corrente e a Conta de Capital e Financeira sempre têm saldos opostos.;✅ Certo. Um déficit em uma geralmente significa superávit na outra.
Se um país tem déficit na Conta Corrente, ele pode financiá-lo com investimentos estrangeiros.;✅ Certo. O déficit pode ser coberto pela entrada de capital na Conta Financeira.
O saldo do Balanço de Pagamentos nunca pode ser negativo.;❌ Errado. Déficits podem ocorrer e ser compensados com reservas internacionais.
Os Erros e Omissões ajustam discrepâncias nos registros do Balanço de Pagamentos.;✅ Certo. Essa conta equilibra inconsistências nos dados.
Se um país aumenta suas reservas internacionais, isso pode indicar um superávit no Balanço de Pagamentos.;✅ Certo. O aumento das reservas reflete entrada líquida de divisas.
A variação das reservas internacionais não influencia o Balanço de Pagamentos.;❌ Errado. As reservas são usadas para equilibrar déficits e superávits.
Um país com reservas internacionais altas tem maior segurança contra crises externas.;✅ Certo. Reservas elevadas ajudam a estabilizar a economia em períodos de crise.
A relação Reservas Internacionais/Importações mede por quanto tempo as reservas podem cobrir importações.;✅ Certo. Esse indicador avalia a capacidade de sustentar compras externas.
O ideal é que as reservas internacionais cubram pelo menos 1 mês de importações.;❌ Errado. O ideal é pelo menos 3 meses.
Se a relação Reservas Internacionais/Serviço da Dívida Externa for baixa, o país pode ter dificuldades para pagar sua dívida.;✅ Certo. Isso indica vulnerabilidade externa.
Quanto maior a relação Reservas Internacionais/Serviço da Dívida Externa, menor o risco de crise cambial.;✅ Certo. Reservas elevadas reduzem a dependência de novos empréstimos.
Se um país tem um déficit na Conta Corrente e não atrai investimentos estrangeiros, suas reservas internacionais podem diminuir.;✅ Certo. O país precisará usar reservas para cobrir o déficit.
Superávits constantes na Conta Corrente podem indicar baixa absorção interna.;✅ Certo. Isso pode significar baixo consumo e investimento doméstico.
Déficits prolongados na Conta Corrente podem indicar dependência externa.;✅ Certo. Um país que importa mais do que exporta pode precisar de capital estrangeiro constantemente.
Uma desvalorização cambial pode melhorar a balança comercial.;✅ Certo. Isso torna as exportações mais baratas e as importações mais caras.
Um superávit na Conta Corrente significa que o país está pegando empréstimos do exterior.;❌ Errado. Significa que o país está acumulando divisas, não pegando empréstimos.
O balanço de pagamentos sempre estará em equilíbrio se as reservas internacionais não forem alteradas.;✅ Certo. Se não houver variação nas reservas, a soma das contas será zero.
Um país pode ter superávit na Conta Corrente e déficit na Conta Financeira ao mesmo tempo.;✅ Certo. Isso ocorre quando há mais exportações do que importações e saída líquida de capitais.
Quanto menores as reservas internacionais, maior a segurança econômica do país.;❌ Errado. Reservas baixas tornam a economia mais vulnerável a crises.
A relação Dívida Externa/PIB mede o peso da dívida externa em relação à produção total do país.;✅ Certo. Esse indicador mostra a proporção da dívida externa em relação ao PIB.
Quanto maior a relação Dívida Externa/PIB, mais solvente é o país.;❌ Errado. Relações elevadas indicam maior comprometimento da economia com a dívida.
A relação Dívida Externa/Exportações mede a capacidade do país de pagar sua dívida com receitas de exportação.;✅ Certo. Mostra quantas exportações seriam necessárias para quitar a dívida.
Se a relação Dívida Externa/Exportações for alta, isso indica que o país tem uma economia forte e independente.;❌ Errado. Isso pode indicar alta dependência de recursos externos.
A relação Serviço da Dívida/Exportações mede o percentual das exportações usado para pagar a dívida.;✅ Certo. Esse indicador reflete o impacto do serviço da dívida nas exportações.
Se o Serviço da Dívida representa grande parte das exportações, o país tem maior flexibilidade para investir em outros setores.;❌ Errado. Quanto maior esse índice, menos recursos restam para outros investimentos.
A economia do setor público analisa como o governo usa recursos para influenciar a economia e o bem-estar social.;✅ Certo. O setor público tem papel central na alocação de recursos e estabilidade econômica.
Gastos correntes do governo incluem construção de rodovias e hospitais.;❌ Errado. Construção de infraestrutura é um gasto de capital.
Pagamento de aposentadorias e salários de servidores são exemplos de gastos correntes do governo.;✅ Certo. Esses gastos mantêm o funcionamento dos serviços públicos.
Gastos de capital do governo são voltados para investimentos de longo prazo.;✅ Certo. Eles aumentam a capacidade produtiva da economia.
A arrecadação de impostos faz parte das receitas correntes do governo.;✅ Certo. Impostos são uma das principais fontes de receita corrente.
A venda de empresas estatais e privatizações são exemplos de receitas correntes.;❌ Errado. Elas são classificadas como receitas de capital.
O financiamento do governo por meio da emissão de títulos da dívida pública é considerado uma receita de capital.;✅ Certo. A emissão de títulos gera recursos financeiros para o governo.
A política orçamentária trata apenas da arrecadação de impostos.;❌ Errado. Ela envolve tanto a arrecadação quanto os gastos públicos.
O orçamento público é aprovado pelo Executivo sem necessidade de aprovação do Legislativo.;❌ Errado. O orçamento precisa ser aprovado pelo Legislativo.
A política orçamentária pode ser usada para estimular ou conter a atividade econômica.;✅ Certo. O governo pode adotar políticas fiscais expansionistas ou contracionistas.
Se o governo arrecada mais do que gasta, ocorre um déficit orçamentário.;❌ Errado. Isso caracteriza um superávit orçamentário.
O déficit orçamentário ocorre quando as despesas do governo superam as receitas.;✅ Certo. Isso indica que o governo está gastando mais do que arrecada.
O equilíbrio orçamentário acontece quando as receitas são iguais às despesas.;✅ Certo. Nenhum déficit ou superávit ocorre nesse caso.
Um déficit orçamentário pode ser financiado pela emissão de títulos públicos.;✅ Certo. O governo pode emitir dívida para cobrir déficits.
