O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
Qual era o último foco de exploração marítima em 1875?;O Ártico, em busca de passagens entre Atlântico e Pacífico.
O que mais do que o conhecimento transformou o mundo em 1875?;A interligação com transporte e comunicação rápida: ferrovia, navio a vapor e telégrafo.
O que simboliza a volta ao mundo de Phileas Fogg (1872)?;A nova possibilidade real de circunavegar o mundo em 80 dias.
Qual era o principal avanço nas viagens: mar ou terra?;Terra – com a expansão das ferrovias, não pela velocidade, mas pela cobertura.
Quanto tempo levaria uma volta ao mundo em 1848?;Cerca de 11 meses, quase tudo por navio.
Que impacto teve o Canal de Suez (1869)?;Reduziu o tempo entre Europa e Ásia, encurtando distâncias.
Quando surgiu a primeira rede ferroviária mundial?;Entre 1850 e 1875, com ferrovias em todos os continentes.
Qual era o único país subdesenvolvido com ferrovia em 1845?;Cuba.
Quais continentes já tinham ferrovias em 1855?;Todos os cinco continentes.
Por volta de 1875, quantas locomotivas e passageiros existiam?;62 mil locomotivas, 1,3 bilhão de passageiros por ano.
A carga transportada por ferrovia em 1875 era maior que a marítima?;Sim, 9 vezes maior que o volume médio por mar.
O que marcou tecnicamente as ferrovias dessa época?;Conquistas de engenharia: túneis, trilhos nos Alpes e Andes.
Qual foi a ferrovia mais alta até então (1874)?;Ferrovia Central do Peru: 15.840 pés de altitude.
Qual foi o primeiro grande túnel ferroviário nos Alpes?;Túnel de Monte Cenis, completado em 1870.
Que efeito teve o túnel de Monte Cenis nas comunicações?;Reduziu em 24 horas a ligação entre Londres e o Mediterrâneo.
O que representava a construção das ferrovias no século XIX?;Um símbolo de orgulho, conquista e transformação global.
Quem construía as ferrovias pelo mundo?;Camponeses, operários, engenheiros e empreiteiros vindos de vários países.
Qual a imagem do trem no filme Pather Panchali?;Um dragão de ferro, símbolo da força irresistível da indústria.
Quem foi Thomas Brassey?;Grande empreiteiro que construiu ferrovias em cinco continentes.
O que simbolizava a lista de obras de Brassey?;Uma espécie de “honra de guerra” dos engenheiros.
"Como o ""romance da indústria"" afetava banqueiros e empreendedores?";Inspirava até quem só financiava as obras, como Hudson e Strousberg.
Quem foram os robber barons americanos?;Homens como Vanderbilt e Jay Gould, que exploravam ferrovias para lucro.
Quem foi Henry Meiggs?;Aventureiro que construiu ferrovias na América com métodos duvidosos.
O que simboliza a Ferrovia Central do Peru?;A grandeza de um sonho industrial, mesmo vindo de um aventureiro.
Quem foram os saint-simonianos?;Visionários industriais que viam o mundo conectado por trilhos e comércio.
Que papel teve Ferdinand de Lesseps?;Construiu o Canal de Suez e tentou o do Panamá.
Quem foram os irmãos Pereire?;Financiadores e construtores de ferrovias na França e na Europa.
Por que os Pereire faliram?;Foram derrotados pelos conservadores Rothschild.
O que fazia Talabot?;Construiu ferrovias e portos na França e Europa Oriental.
O que pensavam os empreendedores industriais?;Que lucro, história e destino eram a mesma coisa.
Qual era o papel principal da ferrovia fora da Europa?;Ligar áreas produtoras de matérias-primas aos portos.
A vela ainda competia com o vapor em 1870?;Sim, a vela era mais eficiente do que parece e ainda era majoritária.
Quando o vapor superou a vela de vez?;Nas décadas de 1870 e 1880.
Quem dominava o transporte marítimo a vapor?;A Grã-Bretanha, com crescimento de 1600% entre 1850 e 1880.
Quais eram os principais canais e rotas?;Canal de Suez, portos do Atlântico Norte e comércio mundial.
Qual foi a invenção mais revolucionária da comunicação?;O telégrafo elétrico.
Quando o telégrafo foi desenvolvido?;Década de 1830, com destaque para Cooke e Wheatstone.
O que permitiu cabos submarinos?;Isolamento com guta-percha, sugerido por Faraday (1847).
Quando surgiram as primeiras transmissões automáticas de mensagens?;Na década de 1860, com o telégrafo automático de Wheatstone.
Quando a Inglaterra e os EUA começaram a usar o telégrafo?;Por volta de 1840.
Quais países europeus adotaram o telégrafo entre 1848 e 1854?;Áustria, Prússia, Bélgica, França, Holanda, Suíça, Suécia, Dinamarca.
Quais países adotaram o telégrafo na segunda metade do século XIX?;Noruega, Espanha, Portugal, Rússia, Grécia, Itália, Romênia, Turquia.
Quantas milhas de linhas telegráficas havia na Europa em 1869?;Cerca de 111 mil milhas.
Como cresceu o número de mensagens telegráficas entre 1852 e 1869?;De menos de 250 mil para milhões em vários países europeus.
Quando foram instalados os primeiros cabos submarinos?;Início da década de 1850 (Dover-Calais em 1851, Ramsgate-Ostend em 1853).
Qual foi o problema do primeiro cabo transatlântico (1857-58)?;Quebrou por isolamento e instalação precários.
Quando o cabo transatlântico foi instalado com sucesso?;Em 1865, com o navio Great Western.
Que regiões foram conectadas por cabos telegráficos até 1870?;Ásia, África, Europa, América Latina e Oceania.
Quanto tempo demorava para enviar o resultado do Derby Londres-Calcutá em 1871?;Cerca de 5 minutos.
O que significava a comunicação via telégrafo na época?;Uma velocidade de comunicação antes inimaginável.
Quem controlava o telégrafo interno na maioria dos países?;Era quase todo estatal, exceto nos EUA.
Quem controlava os cabos submarinos?;Principalmente empresas privadas.
Para que governos os cabos eram especialmente estratégicos?;Para controle militar, segurança e administração de territórios vastos.
Qual o principal uso do telégrafo pelos cidadãos comuns?;Envio de mensagens urgentes a parentes.
Que percentual dos telegramas na Bélgica em 1869 eram privados?;Cerca de 60%.
Quem revolucionou o jornalismo com o telégrafo?;Julius Reuter, com sua agência telegráfica fundada em 1851.
Quando as notícias internacionais passaram a chegar rapidamente?;Por volta de 1860, com o telégrafo.
Qual foi o impacto da comunicação rápida no mundo?;Aumentou o atraso relativo das áreas sem tecnologia moderna.
Quanto tempo levava receber notícias do interior da África em 1871?;Cerca de 8 a 9 meses.
Por que o público admirava os exploradores?;Porque viajavam além das fronteiras da tecnologia e do conforto.
Quem era Phileas Fogg?;Personagem que viajou o mundo usando trilhos, vapor e telégrafo.
Quem eram os “viajantes” mais admirados?;Exploradores, missionários, aventureiros e naturalistas em regiões remotas.
Qual evento econômico marcou o início do período descrito?;Descoberta do ouro na Califórnia em 1848.
Quem descobriu ouro na Califórnia?;James Marshall, em Sutter's Mill perto de Sacramento.
Como era a Califórnia antes da corrida do ouro?;Área remota, pouco valorizada, com poucos fazendeiros e uma pequena cidade.
Quando a corrida do ouro ficou confirmada pelo presidente Polk?;Em dezembro de 1848.
Qual o apelido dos garimpeiros da corrida do ouro na Califórnia?;"""Forty-niners"" (pessoas que chegaram em 1849)."
Como cresceu a população da Califórnia entre 1849 e 1852?;De 14 mil para cerca de 500 mil pessoas.
Quantos navios chegaram a São Francisco em 1849?;Cerca de 540 navios.
Que impacto econômico a corrida do ouro teve?;Criou novos mercados, acelerou a migração e influenciou a economia mundial.
Quem comentou a importância da corrida do ouro em 1852?;Friedrich Engels, ao conversar com Karl Marx.
Qual foi o impacto da corrida do ouro em outras partes do mundo?;Estimulou comércio e migração até em locais distantes, como Havaí, China e Chile.
O que aconteceu com muitos navios no Pacífico durante a febre do ouro?;Foram abandonados por suas tripulações, usados para construir casas.
Que produtos eram transportados para a Califórnia via comércio no Pacífico?;Cereais chilenos, café, cacau mexicano, açúcar, arroz chinês, entre outros.
Como foi a imigração para a Califórnia durante a corrida do ouro?;Principalmente britânicos, irlandeses, alemães, mexicanos e muitos chineses.
Quantos chineses havia na Califórnia em 1850 e em 1876?;"4 mil em 1850; cerca de 111 mil em 1876 (25% da população não nativa)."
Quais dificuldades os imigrantes chineses enfrentaram?;Opressão, racismo, linchamentos e leis restritivas como o Chinese Restriction Act de 1882.
Quais eram as principais rotas para a Califórnia durante a corrida?;Por mar, via Terra do Fogo, ligando a Europa a São Francisco.
Por que o istmo do Panamá voltou a ser importante na década de 1850?;Era a rota mais curta para transporte entre o Atlântico e o Pacífico antes do canal.
Que tratado considerou a construção do canal do Panamá?;Tratado anglo-americano de Bulwer-Clayton, 1850.
Quem começou o serviço postal regular pelo Panamá?;Governo dos EUA, com serviço de vapor entre Nova York, Panamá e São Francisco.
Quem eram os empresários envolvidos no Panamá na época?;Robber barons americanos como Comodore Vanderbilt e W. Ralston.
Quando foi construída a primeira estrada de ferro no Panamá?;Em 1855, planejada por franceses, construída por americanos.
Como os observadores do século XIX viam o mundo econômico?;Como um sistema interligado, onde dinheiro, mercadorias e pessoas se moviam rápido.
Qual foi o impacto da descoberta de ouro na Austrália na imigração britânica?;Imigração saltou de 20 mil para quase 90 mil em um ano.
O que diferenciava o processo de globalização do século XIX do século XX?;No século XX havia mais padronização cultural além da econômica e tecnológica.
"Quais eram alguns dos ""modelos"" culturais dominantes no século XIX?";Ingleses, franceses, alemães e austríacos influenciavam regiões específicas.
Onde a padronização cultural era mais democratizada?;Nos Estados Unidos e Austrália, devido aos altos salários das classes médias.
"Qual era a visão dos ""profetas burgueses"" sobre o futuro do mundo?";Um mundo único, padronizado, com governos baseados em economia política e liberalismo.
