Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
O repúdio ao racismo no art. 4º está ligado à defesa da democracia?;Indiretamente, pois o racismo é incompatível com os valores democráticos e de igualdade.
"O princípio da ""cooperação entre os povos"" é aplicado na ajuda humanitária internacional?";Sim, o Brasil contribui com ajuda humanitária a países em situação de desastre ou conflito, como forma de cooperação.
O asilo político pode ser concedido a um perseguido por delitos comuns?;Não, o asilo só se justifica para perseguição política, não para crimes comuns.
O princípio da não-intervenção impede o Brasil de denunciar violações de direitos humanos na ONU?;Não, pois denúncias formais e discussões multilaterais não são consideradas intervenção, mas exercício da cooperação.
"Qual a relação entre a ""independência nacional"" e a ""autodeterminação dos povos""?";Ambos protegem a soberania, mas o primeiro é voltado ao Brasil, enquanto o segundo é voltado a todos os povos.
O Brasil pode intervir militarmente em outro país com base no princípio da defesa da paz?;Não, a defesa da paz exige o uso de meios pacíficos. A intervenção militar só seria legítima com autorização da ONU.
O princípio da igualdade entre os Estados impede que o Brasil tenha assento permanente no Conselho de Segurança?;Não, a busca por um assento permanente é baseada na defesa da representatividade e da igualdade material.
O repúdio ao terrorismo está ligado à cooperação em inteligência com outros países?;Sim, o Brasil coopera em inteligência para combater o terrorismo, sempre respeitando a soberania e os direitos humanos.
"O princípio da ""cooperação para o progresso"" é uma das bases da política externa brasileira para a África?";Sim, a cooperação técnica com países africanos é um pilar da política externa brasileira.
A concessão de asilo político é um direito do perseguido ou uma faculdade do Estado?;É uma faculdade do Estado brasileiro, que pode concedê-lo ou não, dentro de seu poder discricionário.
O princípio da não-intervenção é uma limitação à atuação do Brasil em tribunais internacionais?;Não, a submissão a tribunais internacionais é voluntária e não viola a não-intervenção.
"A ""defesa da paz"" é um princípio que se aplica apenas a conflitos internacionais ou também internos?";Aplica-se a ambos, pois conflitos internos podem afetar a paz internacional.
"O princípio da ""solução pacífica"" é compatível com a imposição de sanções econômicas?";Sim, sanções econômicas são consideradas medidas pacíficas, desde que não envolvam uso da força.
O repúdio ao racismo é um princípio que fundamenta a atuação do Brasil na ONU?;Sim, o Brasil é ativo na promoção de políticas de combate ao racismo e à discriminação racial.
"O princípio da ""cooperação entre os povos"" está previsto no art. 4º como um objetivo ou como um meio?";É um princípio autônomo, que orienta a atuação brasileira para o desenvolvimento global.
O asilo político é uma prática comum entre os países latino-americanos?;Sim, é uma tradição na América Latina, regulada por convenções como a de Havana e de Caracas.
O princípio da não-intervenção é absoluto ou deve ser interpretado à luz dos direitos humanos?;Deve ser interpretado de forma harmônica, mas historicamente o Brasil o tem aplicado de forma rigorosa.
"A ""independência nacional"" é um princípio que se renova com a globalização?";Sim, a independência nacional é adaptada à globalização, defendendo a soberania em meio à interdependência.
"O princípio da ""defesa da paz"" está relacionado ao desarmamento químico e biológico?";Sim, o Brasil aderiu às convenções que proíbem armas químicas e biológicas.
"O princípio da ""solução pacífica"" é uma inovação da CF/88 ou já existia?";Já existia na tradição diplomática brasileira, mas foi constitucionalizado em 1988.
O repúdio ao terrorismo é um princípio que fundamenta a participação do Brasil no GCTF (Fórum Global de Combate ao Terrorismo)?;Sim, o Brasil é membro do GCTF e atua no combate ao terrorismo com base nesse princípio.
"O princípio da ""cooperação entre os povos"" é uma obrigação ou uma faculdade?";É uma obrigação constitucional que orienta a atuação do Brasil, devendo ser buscada ativamente.
A concessão de asilo político é um ato que pode ser revisto pelo Judiciário?;Em regra, o asilo é ato político do Executivo, mas o Judiciário pode controlar sua legalidade formal.
;
Qual é a principal diferença ontológica entre o DIP e o Direito Internacional Privado?;O DIP rege relações entre sujeitos soberanos (Estados e OIs), enquanto o DIPriv rege relações privadas com elemento estrangeiro (pessoas, empresas).
Qual é a lei brasileira que contém as normas centrais de Direito Internacional Privado?;A Lei de Introdução às Normas do Direito Brasileiro (LINDB), antiga LICC.
A LINDB é uma lei de DIP ou de Direito Interno?;É uma lei interna (Direito Interno) que contém normas de Direito Internacional Privado.
Qual é o objeto central do Direito Internacional Privado?;Determinar qual lei é aplicável a relações jurídicas que envolvam mais de um ordenamento jurídico (conflito de leis no espaço).
O DIP e o DIPriv tratam da mesma matéria?;"Não. O DIP trata de relações interestatais; o DIPriv trata de relações privadas internacionais, sendo matérias distintas, mas complementares."
Qual é o principal conflito que o DIPriv busca resolver?;O conflito de leis no espaço, ou seja, qual lei nacional deve reger uma relação jurídica com conexão internacional.
A LINDB é aplicável apenas a relações envolvendo estrangeiros no Brasil?;Não, aplica-se a toda relação jurídica com elemento de estrangeiria, envolvendo brasileiros ou estrangeiros, dentro ou fora do Brasil.
Qual o artigo da LINDB que trata da lei aplicável à capacidade civil das pessoas?;Art. 7º da LINDB.
Segundo o art. 7º da LINDB, qual lei rege a capacidade civil?;A lei do país do domicílio da pessoa.
O que determina o art. 8º da LINDB sobre bens?;Que a lei do país onde estiverem situados os bens (lex rei sitae) rege sua propriedade e posse.
Qual lei rege as obrigações, segundo a LINDB?;A lei do país onde se constituírem (art. 9º), aplicando-se a lei do local da obrigação (lex loci obligationis).
O que prevê o art. 9º, §2º, da LINDB sobre a forma dos atos jurídicos?;Que a forma é regida pela lei do país onde o ato for praticado (locus regit actum).
Qual é a lei aplicável à sucessão por morte, segundo a LINDB?;A lei do país do domicílio do falecido (art. 10), se não houver disposição em contrário.
O que é o princípio da lex loci celebrationis?;É o princípio pelo qual a lei do local da celebração rege a validade formal do ato.
O que é a lex loci executionis?;É a lei do local onde a obrigação deve ser executada, aplicável ao cumprimento da prestação.
Qual lei rege a prova dos atos jurídicos, conforme a LINDB?;A lei do país onde se realiza a prova (art. 12), admitindo-se os meios de prova locais.
O que a LINDB dispõe sobre a capacidade para suceder?;A sucessão é regida pela lei do domicílio do autor da herança, inclusive quanto à capacidade (art. 10).
Qual é a regra geral da LINDB para o casamento (arts. 7º, §4º e 11)?;"A capacidade para casar é regida pela lei do domicílio do nubente; a forma, pela lei do local da celebração."
O que é o princípio da lex rei sitae?;É a aplicação da lei do local onde se encontra a coisa (bem) para questões de propriedade e posse.
Qual é a regra da LINDB para as sociedades (pessoas jurídicas)?;A existência e o funcionamento das sociedades são regidos pela lei do país onde forem constituídas (art. 11).
A LINDB admite a aplicação de lei estrangeira que ofenda a soberania nacional?;Não, o art. 17 veda a aplicação de lei estrangeira que ofenda a soberania, a ordem pública e os bons costumes.
"O que é a ""ordem pública"" no contexto do DIPriv brasileiro?";É o conjunto de valores e princípios fundamentais da sociedade brasileira, que impede a aplicação de lei estrangeira incompatível.
O que é a reserva de ordem pública (ou exceção de ordem pública)?;É o mecanismo pelo qual o juiz brasileiro recusa a aplicação de lei estrangeira que viole os princípios fundamentais do ordenamento interno.
Qual a consequência da aplicação da exceção de ordem pública?;O juiz não aplica a lei estrangeira ofensiva e substitui pela lei interna brasileira.
